CDSCode,NCESDist,County,District,Street,City,Zip,State,Website (Orig),DOC,DOCType,Latitude,Longitude,LastUpdate,Student Count,LEP,IEP,FRL,fetchCount,Twitter Account,Facebook Account,Verified,Comment,Final Website (Redirect or lookup)
19651100000000,642450,Los Angeles,Whittier City Elementary,7211 South Whittier Avenue,Whittier,90602-1123,CA,www.whittiercity.net,52,Elementary School District,33.976273,-118.04325,6/23/2015,6170,1228,834,3951,68,https://twitter.com/WhittierCity,https://www.facebook.com/Whittier-City-School-District-761328473971700/,Trust,,http://www.whittiercity.net
19651280000000,642480,Los Angeles,Whittier Union High,9401 South Painter Avenue,Whittier,90605-2798,CA,www.wuhsd.k12.ca.us,56,High School District,33.952059,-118.04429,6/23/2015,13215,1332,1342,8905,72,,https://www.facebook.com/wuhsd,Manual,,http://www.wuhsd.org/site/default.aspx?PageID=1
19651360000000,642510,Los Angeles,William S. Hart Union High,21380 Centre Pointe Parkway,Santa Clarita,91350-2948,CA,www.hartdistrict.org,56,High School District,34.410925,-118.50685,8/20/2015,25597,2320,2828,6121,64,https://twitter.com/HartDistrict,https://www.facebook.com/WSHUHSD,Trust,,http://www.hartdistrict.org
19651510000000,642810,Los Angeles,Wilsona Elementary,18050 East Avenue O,Palmdale,93591-3800,CA,www.wilsonasd.net,52,Elementary School District,34.61658,-117.80827,6/23/2015,1310,389,194,733,66,,,Yes,,http://www.wilsonasd.net
19734370000000,609620,Los Angeles,Compton Unified,501 South Santa Fe Avenue,Compton,90221-3814,CA,www.compton.k12.ca.us,54,Unified School District,33.892308,-118.21618,7/2/2013,22452,8428,2305,20852,24,https://twitter.com/ComptonUnified,https://www.facebook.com/ComptonUnified,Manual,,http://www.compton.k12.ca.us/index.aspx
19734450000000,616325,Los Angeles,Hacienda la Puente Unified,15959 East Gale Avenue,City Of Industry,91745-1604,CA,www.hlpusd.k12.ca.us,54,Unified School District,34.010613,-117.95873,6/23/2015,20021,4121,1877,15142,0,https://twitter.com/hlpusd/,https://www.facebook.com/HLPUSD,Manual,,http://www.hlpusd.k12.ca.us
19734520000000,633750,Los Angeles,Rowland Unified,1830 South Nogales Street,Rowland Heights,91748-2945,CA,www.rowlandschools.org,54,Unified School District,33.983667,-117.88888,6/23/2015,15194,4168,1486,10367,69,http://www.twitter.com/RowlandSchools,https://www.facebook.com/RowlandUSD,Trust,,http://www.rowlandschools.org
19734600000000,641280,Los Angeles,Walnut Valley Unified,880 South Lemon Avenue,Walnut,91789-2931,CA,www.wvusd.k12.ca.us,54,Unified School District,34.000993,-117.85512,6/23/2015,14571,1494,1130,2090,61,https://twitter.com/WVUSD_Tweet,,Manual,,http://www.wvusd.k12.ca.us
19740880000000,600103,Los Angeles,La Puente Valley ROP,341 La Seda Road,La Puente,91744,CA,www.lpvrop.org,98,Regional Occupation Center/Program (ROC/P),34.012425,-117.89907,1/29/2016,‡,–,–,‡,72,https://twitter.com/lpvrop,https://www.facebook.com/LPVROP/,Manual,,http://www.lpvrop.org/site/default.aspx?PageID=1
19740960000000,600104,Los Angeles,Southeast ROP,20122 Cabrillo Lane,Cerritos,90703,CA,,98,Regional Occupation Center/Program (ROC/P),33.847613,-118.07967,7/2/2013,‡,–,–,‡,61,,,Yes,,http://www.southeastrop.org/
19741950000000,600105,Los Angeles,East San Gabriel Valley ROP,1501 Del Norte Avenue,West Covina,91790-2105,CA,,98,Regional Occupation Center/Program (ROC/P),34.076786,-117.93707,1/31/2016,‡,–,–,‡,46,,,Yes,,http://www.esgvrop.org/
19743280000000,600106,Los Angeles,Tri-Cities ROP,"10800 Benavon Street, Unit E",Whittier,90606,CA,www.tcrop.k12.ca.us,98,Regional Occupation Center/Program (ROC/P),33.970026,-118.07866,1/30/2016,‡,–,–,‡,67,https://twitter.com/tricitiesrop,https://www.facebook.com/tcrop/,Manual,,http://tricitiesrop.org/
19743360000000,600107,Los Angeles,Southern California ROC,2300 Crenshaw Boulevard,Torrance,90501,CA,,98,Regional Occupation Center/Program (ROC/P),33.824924,-118.32846,11/3/2015,‡,–,–,‡,74,,,Yes,,http://www.scroc.com/
19744270000000,600108,Los Angeles,Long Beach Unified ROP,701 Locust Avenue,Long Beach,90813,CA,,98,Regional Occupation Center/Program (ROC/P),33.775358,-118.19116,11/20/2015,‡,–,–,‡,74,,,Dup,,http://www.lbusd.k12.ca.us/
19744350000000,600109,Los Angeles,Los Angeles Unified ROCP,333 South Beaudry Avenue,Los Angeles,90017-1466,CA,,98,Regional Occupation Center/Program (ROC/P),34.056237,-118.25736,1/31/2016,‡,–,–,‡,#N/A,,,404,,#N/A
19744430000000,600110,Los Angeles,Los Angeles County ROP,9300 East Imperial Way,Downey,90242,CA,,98,Regional Occupation Center/Program (ROC/P),33.9159,-118.1288,4/24/2015,‡,–,–,‡,70,https://twitter.com/lacoeinfo,https://www.facebook.com/LACOE.edu,Manual,,http://www.lacoe.edu/Home.aspx
19747730000000,600111,Los Angeles,Hart ROP,21380 Centre Pointe Parkway,Santa Clarita,91350,CA,,98,Regional Occupation Center/Program (ROC/P),34.410419,-118.51094,1/30/2016,‡,–,–,‡,#N/A,https://twitter.com/HartDistrict,https://www.facebook.com/WSHUHSD,Manual,,http://www.hartdistrict.org/apps/pages/index.jsp?uREC_ID=317663&type=d&pREC_ID=725338
19747990000000,600112,Los Angeles,Antelope Valley ROP,"1156 East Avenue, S",Palmdale,93550-6149,CA,www.avrop.avhsd.org,98,Regional Occupation Center/Program (ROC/P),34.557355,-118.10664,1/31/2016,‡,–,–,‡,63,,,Yes,,http://www.avrop.avhsd.org
19748310000000,600113,Los Angeles,Compton Unified ROP,1104 E. 148th Street,Compton,90220,CA,,98,Regional Occupation Center/Program (ROC/P),33.898131,-118.25481,1/30/2016,‡,–,–,‡,#N/A,,,Dup,,http://web.compton.k12.ca.us/pages/departments/rop/rop.aspx
19748490000000,600114,Los Angeles,San Antonio ROP,605 North Park Avenue,Pomona,91768,CA,,98,Regional Occupation Center/Program (ROC/P),34.063522,-117.75478,11/3/2015,‡,–,–,‡,#N/A,,,Dup,,#N/A
19752910000000,634425,Los Angeles,San Gabriel Unified,408 Junipero Serra Drive,San Gabriel,91776-4500,CA,www.sgusd.k12.ca.us,54,Unified School District,34.097604,-118.10487,8/13/2015,6358,1826,503,3850,3,,,Yes,,http://www.sgusd.k12.ca.us
19753090000000,600001,Los Angeles,Acton-Agua Dulce Unified,32248 North Crown Valley Road,Acton,93510-2620,CA,www.aadusd.k12.ca.us,54,Unified School District,34.472654,-118.19718,6/23/2015,2383,189,242,824,52,,,Yes,,http://www.aadusd.k12.ca.us
19753330000000,600025,Los Angeles,Manhattan Beach Unified,325 South Peck Avenue,Manhattan Beach,90266-2478,CA,www.mbusd.org,54,Unified School District,33.877355,-118.38744,6/23/2015,6874,73,677,142,1,https://twitter.com/mbusdnews,http://www.facebook.com/ManhattanBeachUnifiedSchoolDistrictMBUSD,Manual,,http://www.mbusd.org
19753410000000,600032,Los Angeles,Redondo Beach Unified,1401 Inglewood Avenue,Redondo Beach,90278-3999,CA,www.rbusd.org,54,Unified School District,33.865552,-118.36124,6/23/2015,9087,582,1031,1875,60,,,Yes,,http://www.rbusd.org
19756630000000,600134,Los Angeles,SBE - New West Charter,11625 West Pico Boulevard,West Los Angeles,90064-2908,CA,www.newwestcharter.org,2,State Board of Education,34.03224,-118.44443,7/2/2013,‡,‡,‡,‡,43,,http://www.facebook.com/newwestcharter,Trust,,http://www.newwestcharter.org
19756970000000,600136,Los Angeles,SBE - The School of Arts and Enterprise,295 North Garey Avenue,Pomona,91767-5429,CA,www.thesae.k12.ca.us/main/welcome.shtml,2,State Board of Education,34.060297,-117.75028,3/25/2015,580,82,49,469,0,https://twitter.com/THESAE_,https://www.facebook.com/theSAE2003,Manual,,http://www.thesae.k12.ca.us/main/welcome.shtml
19757130000000,600153,Los Angeles,Alhambra Unified,1515 West Mission Road,Alhambra,91803-1618,CA,www.ausd.us,54,Unified School District,34.082565,-118.13972,6/23/2015,17749,4986,1521,11396,68,https://twitter.com/AlhambraUnified,https://www.facebook.com/pages/Alhambra-Unified-School-District/1621009361494177,Trust,,http://www.ausd.us
19764970000000,601323,Los Angeles,SBE - Lifeline Education Charter,225 South Santa Fe Avenue,Compton,90221-3240,CA,www.lifelinecharter.com,2,State Board of Education,33.894634,-118.21607,7/3/2013,376,‡,0,359,49,https://twitter.com/lifelinecharter,,Manual,,http://www.lifelinecharter.co/
19765470000000,601336,Los Angeles,SBE - Barack Obama Charter,1726 East 117th Street,Los Angeles,90059-2515,CA,http://barackobamacharter.org/,2,State Board of Education,33.927718,-118.24243,8/6/2015,358,43,29,320,59,https://twitter.com/IngeniumSchools,https://www.facebook.com/BarackObamaCharterSchool/?view_public_for=165152513570994,Trust,,http://www.barackobamacharter.org/
19768690000000,601428,Los Angeles,Wiseburn Unified,13530 Aviation Boulevard,Hawthorne,90250-6462,CA,www.wiseburn.k12.ca.us,54,Unified School District,33.920462,-118.37839,6/23/2015,#N/A,#N/A,#N/A,#N/A,56,,,Yes,,http://www.wiseburn.k12.ca.us
19768850000000,601430,Los Angeles,SBE - Anahuacalmecac International University Preparatory of North America,4736 Huntington Drive South,Los Angeles,90032-1942,CA,www.dignidad.org,2,State Board of Education,34.085085,-118.18154,9/10/2015,#N/A,#N/A,#N/A,#N/A,67,https://twitter.com/semillasschools,https://www.facebook.com/SemillasCommunitySchools,Trust,,http://www.dignidad.org
19769680000000,601435,Los Angeles,SBE - Academia Avance Charter,115 North Avenue 53,Highland Park,90042-4005,CA,www.academiaavance.com,2,State Board of Education,34.107313,-118.19811,2/11/2016,#N/A,#N/A,#N/A,#N/A,69,,,Yes,,http://www.academiaavance.com
20102070000000,691017,Madera,Madera County Office of Education,1105 South Madera Avenue,Madera,93637-5576,CA,www.maderacoe.k12.ca.us,0,County Office of Education (COE),36.942939,-120.05599,3/24/2015,‡,336,1002,‡,57,,,Yes,,http://www.maderacoe.k12.ca.us/Pages/index.aspx
20651770000000,602360,Madera,Alview-Dairyland Union Elementary,12861 Avenue 18 1/2,Chowchilla,93610-9049,CA,www.adusd.k12.ca.us,52,Elementary School District,37.018204,-120.28466,9/4/2015,369,149,9,254,25,,,Yes,,http://www.adusd.k12.ca.us/Pages/default.aspx
20651850000000,604080,Madera,Bass Lake Joint Union Elementary,40096 Indian Springs Road,Oakhurst,93644-8729,CA,www.basslakeschooldistrict.com,52,Elementary School District,37.332528,-119.63895,6/23/2015,854,73,57,522,74,,http://www.facebook.com/pages/OES-PTC/146506785371193,Trust,,http://www.basslakeschooldistrict.com
20651930000000,608520,Madera,Chowchilla Elementary,355 North Fifth Street,Chowchilla,93610-0907,CA,www.chowchillaelem.k12.ca.us,52,Elementary School District,37.122449,-120.26487,6/23/2015,2177,689,93,1693,70,,https://www.facebook.com/ChowSchools/timeline,Trust,,http://www.chowchillaelem.k12.ca.us/site/default.aspx?PageID=1
20652010000000,608550,Madera,Chowchilla Union High,805 Humboldt Avenue,Chowchilla,93610-3199,CA,www.chowchillahigh.k12.ca.us,56,High School District,37.116435,-120.26264,12/18/2015,1041,155,62,701,64,,,Yes,,http://www.chowchillahigh.k12.ca.us
20652430000000,623340,Madera,Madera Unified,1902 Howard Road,Madera,93637-5123,CA,www.madera.k12.ca.us,54,Unified School District,36.952673,-120.08106,6/23/2015,20200,6961,1205,17361,69,https://twitter.com/MUnified,https://www.facebook.com/Madera-Adult-School-Fan-Page-162639973813827/,Trust,,http://www.madera.k12.ca.us/site/default.aspx?PageID=1
20652760000000,631920,Madera,Raymond-Knowles Union Elementary,31828 Road 600,Raymond,93653-0047,CA,www.rkusd.k12.ca.us,52,Elementary School District,37.233818,-119.89078,5/29/2015,‡,2,4,‡,31,,https://www.facebook.com/raymondschool/,Trust,,http://www.rkusd.k12.ca.us/Pages/index.aspx
20755800000000,600068,Madera,Golden Valley Unified,37479 Avenue 12,Madera,93636-8726,CA,www.gvusd.org,54,Unified School District,36.922952,-119.86767,3/8/2016,1960,111,163,692,#N/A,,,Yes,,http://www.edline.net/pages/Golden_Valley_USD
20756060000000,600116,Madera,Chawanakee Unified,33030 Road 228,North Fork,93643-9694,CA,www.chawanakee.k12.ca.us,54,Unified School District,37.226943,-119.50158,10/21/2015,1139,10,93,522,72,https://twitter.com/minaretslife,https://www.facebook.com/ChawanakeeUnifiedSchoolDistrict/,Trust,,http://www.chawanakee.k12.ca.us
20764140000000,600160,Madera,Yosemite Unified,"50200 Road 427, Suite A",Oakhurst,93644-9506,CA,www.yosemiteusd.com,54,Unified School District,37.329796,-119.62791,6/23/2015,2038,4,196,931,73,,http://www.facebook.com/yosemitehs,Trust,,http://www.yosemiteusd.com
21102150000000,691018,Marin,Marin County Office of Education,1111 Las Gallinas Avenue,San Rafael,94913-4925,CA,www.marinschools.org,0,County Office of Education (COE),38.013877,-122.54941,6/23/2015,273,44,309,103,57,https://twitter.com/mcoepd,https://www.facebook.com/pages/Marin-County-Office-of-Education-Superintendent-of-Schools/125455067508880,Trust,,http://www.marinschools.org/Pages/default.aspx
21653000000000,605520,Marin,Bolinas-Stinson Union,125 Olema-Bolinas Road,Bolinas,94924-9747,CA,www.bolinas-stinson.org,52,Elementary School District,37.909873,-122.68812,6/23/2015,119,15,9,39,68,,,Yes,,http://www.bolinas-stinson.org
21653180000000,611220,Marin,Dixie Elementary,380 Nova Albion Way,San Rafael,94903-3523,CA,www.dixieschooldistrict.org,52,Elementary School District,37.998618,-122.54915,6/23/2015,1934,208,253,233,1,,,Yes,,http://www.dixieschooldistrict.org
21653340000000,619380,Marin,Kentfield Elementary,750 College Avenue,Kentfield,94904-1639,CA,www.kentfieldschools.org/district,52,Elementary School District,37.952009,-122.54953,7/2/2013,1246,65,88,36,0,,,Yes,,http://www.kentfieldschools.org/district
21653420000000,620430,Marin,Laguna Joint Elementary,2657 Chileno Valley Road,Petaluma,94952-9428,CA,www.lagunaschool.org,52,Elementary School District,38.199668,-122.71532,7/2/2013,18,8,0,14,27,,,Yes,,http://lagunaschool.org/_layouts/15/start.aspx#/SitePages/Home.aspx
21653590000000,620520,Marin,Lagunitas Elementary,One Lagunitas School Road,San Geronimo,94963-0308,CA,www.lagunitas.org,52,Elementary School District,38.0175,-122.6759,7/25/2014,309,11,17,60,56,https://twitter.com/lagunitasopen,,Trust,,http://lagunitas.org/
21653670000000,620910,Marin,Larkspur-Corte Madera,230 Doherty Drive,Larkspur,94939-1532,CA,www.lcmschools.org,52,Elementary School District,37.938281,-122.5256,6/23/2015,1461,62,146,140,73,https://twitter.com/Cove_School,https://www.facebook.com/LCMSD,Trust,,http://www.lcmschools.org/site/default.aspx?PageID=1
21653750000000,621660,Marin,Lincoln Elementary,1300 Hicks Valley Road,Petaluma,94952-9407,CA,,52,Elementary School District,38.148268,-122.74419,7/2/2013,4,2,0,0,66,,,Yes,,http://www.lusd.net/
21653910000000,624870,Marin,Mill Valley Elementary,411 Sycamore Avenue,Mill Valley,94941-2231,CA,www.mvschools.org,52,Elementary School District,37.896677,-122.52959,6/23/2015,3257,95,329,131,71,http://www.twitter.com/mv_schools,http://www.facebook.com/mvschools,Trust,,http://www.mvschools.org/site/default.aspx?PageID=1
21654090000000,627300,Marin,Nicasio,5555 Nicasio Valley Road,Nicasio,94946,CA,www.nicasioschool.org,52,Elementary School District,38.072982,-122.70584,8/5/2015,53,15,1,0,72,,,Yes,,http://www.nicasioschool.org
21654170000000,627720,Marin,Novato Unified,1015 Seventh Street,Novato,94945-2205,CA,www.nusd.org,54,Unified School District,38.109661,-122.57811,10/9/2015,8035,1454,878,2810,64,http://twitter.com/NUSD1,http://facebook.com/pages/Novato-Unified-School-District/450584364964779?fref=ts,Trust,,http://www.nusd.org
21654250000000,632160,Marin,Reed Union Elementary,277-A Karen Way,Tiburon,94920,CA,www.reedschools.org,52,Elementary School District,37.902636,-122.49977,8/19/2015,1556,42,96,35,71,,,Yes,,http://www.reedschools.org/site/default.aspx?PageID=1
21654330000000,633660,Marin,Ross Elementary,9 Lagunitas Road,Ross,94957-1058,CA,www.rossbears.org,52,Elementary School District,37.962399,-122.55623,7/9/2015,378,6,36,0,72,https://twitter.com/RossSchoolBears,,Verified,,http://www.rossbears.org/site/default.aspx?PageID=1
21654580000000,635090,Marin,San Rafael City Elementary,310 Nova Albion Way,San Rafael,94903-3523,CA,www.srcs.org,52,Elementary School District,37.999366,-122.55144,6/23/2015,4487,2013,514,2850,50,https://twitter.com/SRCSSchools,https://www.facebook.com/SanRafaelCitySchools,Trust,,http://www.srcs.org
21654660000000,635110,Marin,San Rafael City High,310 Nova Albion Way,San Rafael,94903-3500,CA,www.srcs.org,56,High School District,37.999366,-122.55144,6/23/2015,2190,344,258,979,50,https://twitter.com/SRCSSchools,https://www.facebook.com/SanRafaelCitySchools,Dup,,http://www.srcs.org
21654740000000,636000,Marin,Sausalito Marin City,200 Phillips Drive,Sausalito,94965-1194,CA,www.smcsd.org,52,Elementary School District,37.873619,-122.51252,6/23/2015,467,114,65,288,66,http://twitter.com/SausalitoMCSD,,Trust,,http://www.smcsd.org
21654820000000,638790,Marin,Tamalpais Union High,395 Doherty Drive,Larkspur,94977-0605,CA,www.tamdistrict.org,56,High School District,37.938165,-122.53266,8/3/2015,4039,38,383,291,65,https://twitter.com/TamSupt,https://www.facebook.com/pages/Redwood-High-School/355847257835858,Trust,,http://www.tamdistrict.org/site/default.aspx?PageID=1
21655160000000,640410,Marin,Union Joint Elementary,5300 Red Hill Road,Petaluma,94952-9445,CA,http://mcoeweb.marin.k12.ca.us/rurals/union,52,Elementary School District,38.185403,-122.66552,7/2/2013,11,4,0,3,69,,,Yes,,http://gjuesd-ca.schoolloop.com/
21733610000000,636670,Marin,Shoreline Unified,10 John Street,Tomales,94971-0198,CA,http://shorelineunified.org,54,Unified School District,38.245382,-122.90385,8/26/2015,509,183,87,307,74,,,Yes,,http://shorelineunified.org
21746580000000,600117,Marin,Marin County ROP,1111 Las Gallinas Avenue,San Rafael,94903,CA,,98,Regional Occupation Center/Program (ROC/P),38.013877,-122.54941,11/20/2015,‡,–,–,‡,#N/A,,,Yes,,http://www.marinschools.org/ROP/Pages/default.aspx
21750020000000,600006,Marin,Ross Valley Elementary,110 Shaw Drive,San Anselmo,94960-1112,CA,www.rossvalleyschools.org,52,Elementary School District,37.981777,-122.56203,6/23/2015,2290,92,205,215,71,http://www.twitter.com/rvsd,,Trust,,http://www.rossvalleyschools.org
22102230000000,691090,Mariposa,Mariposa County Office of Education,5082 Old Highway North,Mariposa,95338,CA,www.mariposa.k12.ca.us,0,County Office of Education (COE),37.48937,-119.96387,8/25/2015,77,0,65,54,56,,,Yes,,http://www.mariposa.k12.ca.us
22655320000000,623940,Mariposa,Mariposa County Unified,5082 Old Highway North,Mariposa,95338,CA,www.mariposa.k12.ca.us,54,Unified School District,37.49025,-119.96445,8/25/2015,1817,55,233,1004,56,,,Dup,,http://www.mariposa.k12.ca.us
23102310000000,691019,Mendocino,Mendocino County Office of Education,2240 Old River Road,Ukiah,95482-7074,CA,www.mcoe.us,0,County Office of Education (COE),39.133143,-123.16603,1/8/2015,117,22,44,106,70,,,Manual,,http://www.mcoe.us
23655400000000,602730,Mendocino,Anderson Valley Unified,12300 Anderson Valley Way,Boonville,95415-9101,CA,www.avusd.k12.ca.us,54,Unified School District,39.035665,-123.39203,7/3/2015,548,239,47,441,73,,,Yes,,http://www.avusd.k12.ca.us/site/default.aspx?PageID=1
23655570000000,603090,Mendocino,Arena Union Elementary,45 Lake Street,Point Arena,95468,CA,www.mcoe.k12.ca.us/schools/arena_union,52,Elementary School District,38.914259,-123.69972,7/20/2015,346,72,35,249,0,,,Yes,,http://www.mcoe.k12.ca.us/schools/arena_union
23655650000000,614070,Mendocino,Fort Bragg Unified,312 South Lincoln Street,Fort Bragg,95437-4416,CA,www.fbusd.us,54,Unified School District,39.438977,-123.7955,6/23/2015,1870,370,157,1223,73,,https://www.facebook.com/Fort-Bragg-Unified-School-District-1448873648747372/,Trust,,http://www.fbusd.us
23655730000000,623550,Mendocino,Manchester Union Elementary,19550 South Highway 1,Manchester,95459-0098,CA,www.mcoe.us/d/schools,52,Elementary School District,38.986044,-123.68522,9/19/2014,57,22,11,39,#N/A,,,Yes,,http://www.mcoe.us/
23655810000000,624480,Mendocino,Mendocino Unified,44141 Little Lake Road,Mendocino,95460-1154,CA,http://mendocinousd.org,54,Unified School District,39.312268,-123.78285,6/23/2015,540,9,67,193,72,,,Yes,,http://mendocinousd.org
